Brand,Name,Price,Connection,Power ,Battery Life,Buttons,Buttons Type,Size,Weight,Shape,DPI,Polling Rate,Category,Image,Link
NYK,Nemesis MQ-10,155000,Wireless,Recharge,40 Hours,5,Clicky,Large,60,Symmetrical,2400,1000,Gaming,NYK-NemesisMQ10.jpeg,https://tk.tokopedia.com/ZSBaD1tcX/
Eweadn,X23 SE,255000,Wireless,Recharge,130 Hours,5,Clicky,Medium,56,Symmetrical,12000,1000,Gaming,Eweadn-X23SE.jpeg,https://tk.tokopedia.com/ZSBaAExby/
WLMouse,Sword X,2475000,Wireless,Recharge,50 Hours,5,Clicky,Large,47,Symmetrical,30000,8000,Gaming,WLMouse-Sword X.jpeg,https://tk.tokopedia.com/ZSBaAK7DT/
Redragon,M724,181688,Wired,No Battery,No Battery,5,Clicky,Large,42,Symmetrical,12400,1000,Gaming,Redragon-M724.jpeg,https://tk.tokopedia.com/ZSBaATDxW/
Robot,M102,20000,Wired,No Battery,No Battery,2,Clicky,Small,45,Symmetrical,1200,1000,Office,Robot-M102.jpeg,https://tk.tokopedia.com/ZSBaDjyr2/
Rapoo,N100C,47000,Wired,No Battery,No Battery,2,Clicky,Medium,58,Symmetrical,1000,1000,Office,Rapoo-N100C.jpeg,https://tk.tokopedia.com/ZSBaAwqhs/
Rapoo,MT760L,699000,Wireless,Recharge,160 Hours,8,Clicky,Large,120,Ergonomic,3200,125,Office,Rapoo-MT760L.jpeg,https://tk.tokopedia.com/ZSBaAwYue/
Fantech,KANATA,109000,Wireless,Recharge,70 Hours,6,Clicky,Large,90,Symmetrical,7200,1000,Gaming,Fantech-KANATA.jpeg,https://tk.tokopedia.com/ZSBaDenqs/
Fantech,Heilos 2,549000,Wireless,Recharge,70 Hours,5,Clicky,Large,55,Symmetrical,26000,4000,Gaming,Fantech-Heilos2.jpeg,https://tk.tokopedia.com/ZSBaDMH9D/
Fantech,Aria II E,379000,Wireless,Recharge,70 Hours,5,Clicky,Medium,53,Symmetrical,12000,1000,Gaming,Fantech-AriaIIE.jpeg,https://tk.tokopedia.com/ZSBaDJ5AE/
Noir,M1,299000,Wireless,Recharge,70 Hours,6,Clicky,Large,70,Symmetrical,12000,1000,Gaming,Noir-M1.jpeg,https://tk.tokopedia.com/ZSBaD1nSP/
Noir ,M2,629000,Wireless,Recharge,70 Hours,5,Clicky,Large,59,Symmetrical,26000,1000,Gaming,Noir-M2.jpeg,https://tk.tokopedia.com/ZSBaD85kb/
MYNK,Gozo,329000,Wireless,Recharge,70 Hours,5,Clicky,Large,59,Symmetrical,12000,1000,Gaming,MYNK-Gozo.jpeg,https://tk.tokopedia.com/ZSBaDeTqM/
Neo,Melo,149000,Wireless,Recharge,100 Hours,4,Silent,Small,73,Symmetrical,1600,125,Office,Neo-Melo.jpeg,https://tk.tokopedia.com/ZSBaAcUM3/
Philips,SPK7418,76900,Wireless,Battery AA,12 Months,2,Clicky,Medium,46,Symmetrical,1600,125,Office,Philips-SPK7418.jpeg,https://tk.tokopedia.com/ZSBaDrTFQ/
